,zz500
2014-01-02 09:44:00,3823.65
2014-01-02 09:45:00,3825.78
2014-01-02 09:46:00,3826.8
2014-01-02 09:47:00,3826.91
2014-01-02 09:48:00,3827.77
2014-01-02 09:49:00,3828.85
2014-01-02 09:50:00,3828.05
2014-01-02 09:51:00,3825.9
2014-01-02 09:52:00,3825.11
2014-01-02 09:53:00,3824.59
2014-01-02 09:54:00,3823.94
2014-01-02 09:55:00,3823.85
2014-01-02 09:56:00,3822.99
2014-01-02 09:57:00,3822.75
2014-01-02 09:58:00,3823.1
2014-01-02 09:59:00,3823.34
2014-01-02 10:00:00,3823.79
2014-01-02 10:01:00,3825.11
2014-01-02 10:02:00,3827.18
2014-01-02 10:03:00,3828.07
2014-01-02 10:04:00,3829.02
2014-01-02 10:05:00,3830.17
2014-01-02 10:06:00,3830.36
2014-01-02 10:07:00,3829.88
2014-01-02 10:08:00,3828.98
2014-01-02 10:09:00,3827.29
2014-01-02 10:10:00,3824.85
2014-01-02 10:11:00,3821.51
2014-01-02 10:12:00,3816.94
2014-01-02 10:13:00,3815.18
2014-01-02 10:14:00,3815.05
2014-01-02 10:15:00,3816.44
2014-01-02 10:16:00,3816.2
2014-01-02 10:17:00,3816.3
2014-01-02 10:18:00,3817.04
2014-01-02 10:19:00,3818.58
2014-01-02 10:20:00,3819.99
2014-01-02 10:21:00,3821.71
2014-01-02 10:22:00,3822.65
2014-01-02 10:23:00,3823.69
2014-01-02 10:24:00,3823.34
2014-01-02 10:25:00,3823.24
2014-01-02 10:26:00,3823.15
2014-01-02 10:27:00,3823.65
2014-01-02 10:28:00,3824.25
2014-01-02 10:29:00,3825.08
2014-01-02 10:30:00,3825.39
2014-01-02 10:31:00,3825.94
2014-01-02 10:32:00,3827.33
2014-01-02 10:33:00,3828.08
2014-01-02 10:34:00,3828.64
2014-01-02 10:35:00,3828.96
2014-01-02 10:36:00,3828.64
2014-01-02 10:37:00,3827.79
2014-01-02 10:38:00,3826.36
2014-01-02 10:39:00,3825.59
2014-01-02 10:40:00,3824.5
2014-01-02 10:41:00,3824.03
2014-01-02 10:42:00,3824.49
2014-01-02 10:43:00,3825.53
2014-01-02 10:44:00,3826.27
2014-01-02 10:45:00,3826.54
2014-01-02 10:46:00,3825.94
2014-01-02 10:47:00,3824.25
