,zz500
2014-01-02 09:44:00,-131.0
2014-01-02 09:45:00,-131.0
2014-01-02 09:46:00,-131.0
2014-01-02 09:47:00,-131.0
2014-01-02 09:48:00,-131.0
2014-01-02 09:49:00,-131.0
2014-01-02 09:50:00,-131.0
2014-01-02 09:51:00,-131.0
2014-01-02 09:52:00,-131.0
2014-01-02 09:53:00,-131.0
2014-01-02 09:54:00,-131.0
2014-01-02 09:55:00,-131.0
2014-01-02 09:56:00,-1.0
2014-01-02 09:57:00,-1.0
2014-01-02 09:58:00,130.0
2014-01-02 09:59:00,130.0
2014-01-02 10:00:00,130.0
2014-01-02 10:01:00,130.0
2014-01-02 10:02:00,0.0
2014-01-02 10:03:00,0.0
2014-01-02 10:04:00,-131.0
2014-01-02 10:05:00,-131.0
2014-01-02 10:06:00,-130.0
2014-01-02 10:07:00,-130.0
2014-01-02 10:08:00,-130.0
2014-01-02 10:09:00,-130.0
2014-01-02 10:10:00,-131.0
2014-01-02 10:11:00,-131.0
2014-01-02 10:12:00,-2.0
2014-01-02 10:13:00,-2.0
2014-01-02 10:14:00,130.0
2014-01-02 10:15:00,130.0
2014-01-02 10:16:00,130.0
2014-01-02 10:17:00,130.0
2014-01-02 10:18:00,130.0
2014-01-02 10:19:00,130.0
2014-01-02 10:20:00,130.0
2014-01-02 10:21:00,130.0
2014-01-02 10:22:00,0.0
2014-01-02 10:23:00,0.0
2014-01-02 10:24:00,-131.0
2014-01-02 10:25:00,-131.0
2014-01-02 10:26:00,-131.0
2014-01-02 10:27:00,-131.0
2014-01-02 10:28:00,-130.0
2014-01-02 10:29:00,-130.0
2014-01-02 10:30:00,-130.0
2014-01-02 10:31:00,-130.0
2014-01-02 10:32:00,-130.0
2014-01-02 10:33:00,-130.0
2014-01-02 10:34:00,-130.0
2014-01-02 10:35:00,-130.0
2014-01-02 10:36:00,-130.0
2014-01-02 10:37:00,-130.0
2014-01-02 10:38:00,-130.0
2014-01-02 10:39:00,-130.0
2014-01-02 10:40:00,-130.0
2014-01-02 10:41:00,-130.0
2014-01-02 10:42:00,-1.0
2014-01-02 10:43:00,-1.0
2014-01-02 10:44:00,129.0
2014-01-02 10:45:00,129.0
2014-01-02 10:46:00,129.0
2014-01-02 10:47:00,129.0
2014-01-02 10:48:00,-1.0
2014-01-02 10:49:00,-1.0
2014-01-02 10:50:00,-130.0
2014-01-02 10:51:00,-130.0
2014-01-02 10:52:00,-2.0
2014-01-02 10:53:00,-2.0
2014-01-02 10:54:00,-130.0
2014-01-02 10:55:00,-130.0
2014-01-02 10:56:00,-129.0
2014-01-02 10:57:00,-129.0
2014-01-02 10:58:00,-129.0
2014-01-02 10:59:00,-129.0
2014-01-02 11:00:00,-129.0
2014-01-02 11:01:00,-129.0
2014-01-02 11:02:00,-129.0
2014-01-02 11:03:00,-129.0
2014-01-02 11:04:00,-129.0
2014-01-02 11:05:00,-129.0
2014-01-02 11:06:00,-129.0
2014-01-02 11:07:00,-129.0
2014-01-02 11:08:00,-129.0
2014-01-02 11:09:00,-129.0
